State,Post_Comm,StreetName,StN_PosDir,Add_Number,StN_PosTyp
NJ,MOORESTOWN,EAGLEBROOK,NULL,564,DRIVE
NJ,MOORESTOWN,MAIN,NULL,320,STREET
NJ,MOORESTOWN,HAINES,NULL,203,DRIVE
NJ,LUMBERTON,MARRIOTT,NULL,19,DRIVE
NJ,MOORESTOWN,TWOSOME,NULL,30,DRIVE
NJ,MOORESTOWN,NEW ALBANY,NULL,408,ROAD
NJ,MOORESTOWN,STANLEY,NULL,183,AVENUE
NJ,LUMBERTON,NUTMEG,NULL,20,DRIVE
NJ,LUMBERTON,TYNEMOUTH,NULL,50,NULL
NJ,LUMBERTON,LANDING,NULL,449,STREET
NJ,LUMBERTON,AZALEA,NULL,28,DRIVE
NJ,LUMBERTON,AMARYLLIS,NULL,15,LANE
NJ,LUMBERTON,FLEMISH,NULL,2,WAY
NJ,LUMBERTON,TYNEMOUTH,NULL,11,NULL
NJ,LUMBERTON,SHERRY ANN,NULL,4,DRIVE
NJ,LUMBERTON,STONEBROOK,NULL,134,DRIVE
NJ,MOORESTOWN,DAWSON,NULL,415,STREET
NJ,MOORESTOWN,CEDAR,NULL,213,STREET
NJ,MOORESTOWN,LOCUST,NULL,418,STREET
NJ,MOORESTOWN,MAPLE,NULL,701,COURT
NJ,MOORESTOWN,CHURCH,NULL,419,STREET
NJ,MOORESTOWN,OAK,NULL,4,AVENUE
NJ,MOORESTOWN,MILL,NULL,320,STREET
NJ,MOORESTOWN,HIGHLAND,NULL,185,AVENUE
NJ,MOORESTOWN,CAMDEN,NULL,446,AVENUE
NJ,MOORESTOWN,DEVON,NULL,507,ROAD
NJ,MOORESTOWN,FLYNN,NULL,106,AVENUE
NJ,MOORESTOWN,BOWLING,NULL,501,GREEN
NJ,MOORESTOWN,VALLEY VIEW,NULL,19,TERRACE
NJ,MOORESTOWN,BEACON,NULL,606,STREET
NJ,MOORESTOWN,SPRINGHOUSE,NULL,250,LANE
NJ,MOUNT HOLLY,JOSEPH,NULL,138,PLACE
NJ,MOUNT HOLLY,MARTIN,NULL,363,AVENUE
NJ,MOORESTOWN,2ND,NULL,99,STREET
NJ,MOORESTOWN,WALNUT,NULL,100,AVENUE
NJ,MOORESTOWN,LIPPINCOTT,NULL,550,AVENUE
NJ,MOORESTOWN,SHIRLEY,NULL,26,AVENUE
NJ,MOORESTOWN,KINGS,NULL,729,HIGHWAY
NJ,MOORESTOWN,LAUREL CREEK,NULL,209,BOULEVARD
NJ,MOORESTOWN,COUNTRY CLUB,NULL,227,DRIVE
NJ,MOORESTOWN,CENTER,NULL,220,STREET
NJ,MOORESTOWN,CREEK,NULL,404,ROAD
NJ,MOORESTOWN,ERRICKSON,NULL,119,AVENUE
NJ,MOORESTOWN,MOORE,NULL,22,STREET
